큐딜리온 퍼블리싱리스트,,,,,,,,,,
,,,,,,,,,,
No,Dep1,Dep2,Dep3,Dep4,폴더경로,파일이름,진행상태,시작일,종료일,진척률
197,통계,회원분석,신규가입회원,일별 현황,,statistics03_01.php,완료,2018-06-04,2018-06-08,100%
198,통계,회원분석,신규가입회원,월별 현황,,statistics03_01.php,완료,2018-06-04,2018-06-08,100%
199,통계,회원분석,신규가입회원,요일별 현황,,statistics03_01.php,완료,2018-06-04,2018-06-08,100%
200,통계,회원분석,신규가입회원,시간대별 현황,,statistics03_01.php,완료,2018-06-04,2018-06-08,100%
201,통계,회원분석,탈퇴회원,일별 현황,,statistics03_02.php,완료,2018-06-04,2018-06-08,100%
202,통계,회원분석,탈퇴회원,월별 현황,,statistics03_02.php,완료,2018-06-04,2018-06-08,100%
203,통계,회원분석,탈퇴회원,요일별 현황,,statistics03_02.php,완료,2018-06-04,2018-06-08,100%
204,통계,회원분석,탈퇴회원,시간대별 현황,,statistics03_02.php,완료,2018-06-04,2018-06-08,100%
205,통계,방문자분석,당일 현황,,,statistics04.php,완료,2018-06-04,2018-06-08,100%
206,통계,방문자분석,일별 현황,,,statistics04.php,완료,2018-06-04,2018-06-08,100%
207,통계,방문자분석,월별 현황,,,statistics04.php,완료,2018-06-04,2018-06-08,100%
208,통계,방문자분석,요일별 현황,,,statistics04.php,완료,2018-06-04,2018-06-08,100%
209,통계,방문자분석,시간대별 현황,,,statistics04.php,완료,2018-06-04,2018-06-08,100%
210,통계,상품분석,일별 현황,,,statistics05.php,완료,2018-06-04,2018-06-08,100%
211,통계,상품분석,월별 현황,,,statistics05.php,완료,2018-06-04,2018-06-08,100%
212,통계,상품분석,요일별 현황,,,statistics05.php,완료,2018-06-04,2018-06-08,100%
213,통계,상품분석,시간대별 현황,,,statistics05.php,완료,2018-06-04,2018-06-08,100%
214,통계,상품분석,카테고리별 현황,,,statistics05.php,완료,2018-06-04,2018-06-08,100%
215,통계,상품분석,거래희망지역별 현황,,,statistics05.php,완료,2018-06-04,2018-06-08,100%
216,통계,거래분석,일별 현황,,,statistics06.php,완료,2018-06-04,2018-06-08,100%
217,통계,거래분석,월별 현황,,,statistics06.php,완료,2018-06-04,2018-06-08,100%
218,통계,거래분석,요일별 현황,,,statistics06.php,완료,2018-06-04,2018-06-08,100%
219,통계,거래분석,카테고리별 현황,,,statistics06.php,완료,2018-06-04,2018-06-08,100%
220,중고나라 카페,카페 등업관리 리스트,,,,cafe01.php,완료,2018-06-04,2018-06-08,100%
221,중고나라 카페,활동정지 회원 리스트,,,,cafe02.php,완료,2018-06-04,2018-06-08,100%
222,중고나라 카페,가입불가 회원 리스트,,,,cafe03.php,완료,2018-06-04,2018-06-08,100%
223,중고나라 카페,화면가이드 팝업,,,,operation01_popup.html,완료,2018-05-14,2018-05-14,100%
224,버티컬 서비스,비밀의 공구,리스트,,,vertical_list.php,완료,2018-06-04,2018-06-08,100%
225,버티컬 서비스,비밀의 공구,비밀의 공구 댓글 팝업,,,vertical_popup.html,완료,2018-06-04,2018-06-08,100%
226,버티컬 서비스,비밀의 공구,등록,,,vertical_reg.php,완료,2018-06-04,2018-06-08,100%
227,버티컬 서비스,비밀의 공구,상세,,,vertical_det.php,완료,2018-06-04,2018-06-08,100%
228,시스템,사원관리,리스트,,,system01.php,완료,2018-06-04,2018-06-08,100%
229,시스템,사원관리,사원등록 팝업,,,system01_popup01.html,완료,2018-06-04,2018-06-08,100%
230,시스템,사원관리,사원상세정보팝업,,,system01_popup02.html,완료,2018-06-04,2018-06-08,100%
231,시스템,관리자 접근권한,,,,system02.php,완료,2018-06-04,2018-06-08,100%
232,시스템,관리자 메뉴관리,,,,system03.php,완료,2018-06-04,2018-06-08,100%
233,시스템,관리자 공지사항,리스트,,,system04.php,완료,2018-06-04,2018-06-08,100%
234,시스템,관리자 공지사항,관리자 공지사항 상세정보 팝업,,,system04_popup01.html,완료,2018-06-04,2018-06-08,100%
235,시스템,관리자 공지사항,관리자 공지사항 등록 팝업,,,system04_popup02.html,완료,2018-06-04,2018-06-08,100%
